local_bill_id,local_bill_reference,title_canonical,official_long_title,third_party_organisation,initiator_type,initiator_member_id,initiator_party_governance_role,ministerial_portfolio_title,government_type,governing_parties_list,date_introduced,date_final_outcome,royal_assent_date,duration_calendar_days,duration_sitting_days,stage_1_debate_days_count,stage_3_debate_days_count,financial_resolution_required_flag,financial_resolution_approved_flag,financial_resolution_aye_count,financial_resolution_no_count,financial_resolution_abstain_count,effective_majority_margin_at_event_date,party_dissent_rate_at_event_date,voting_coalition_type,committee_id,committee_name,committee_type,committee_convener_member_id,committee_deputy_convener_member_id,final_status,termination_mechanism,raw_payload_json,computed_at
11,SP Bill 11,Sea Fisheries (Shellfish) Amendment (Scotland) Bil,Sea Fisheries (Shellfish) Amendment (Scotland) Bill,,INDIVIDUAL_MEMBER,2223,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 11, ""Reference"": ""SP Bill 11"", ""ShortName"": ""Sea Fisheries (Shellfish) Amendment (Scotland) Bil"", ""FullName"": ""Sea Fisheries (Shellfish) Amendment (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 2223, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
12,SP Bill 12,National Parks (Scotland) Bill,National Parks (Scotland) Bill,,EXECUTIVE,1866,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 12, ""Reference"": ""SP Bill 12"", ""ShortName"": ""National Parks (Scotland) Bill"", ""FullName"": ""National Parks (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1866, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
13,SP Bill 13,Family Homes and Homelessness (Scotland) Bill,Family Homes and Homelessness (Scotland) Bill,,INDIVIDUAL_MEMBER,2185,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 13, ""Reference"": ""SP Bill 13"", ""ShortName"": ""Family Homes and Homelessness (Scotland) Bill"", ""FullName"": ""Family Homes and Homelessness (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 2185, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
14,SP Bill 14,Education and Training (Scotland) Bill,Education and Training (Scotland) Bill,,EXECUTIVE,2028,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 14, ""Reference"": ""SP Bill 14"", ""ShortName"": ""Education and Training (Scotland) Bill"", ""FullName"": ""Education and Training (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2028, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
15,SP Bill 15,Leasehold Casualties (Scotland) Bill,Leasehold Casualties (Scotland) Bill,,INDIVIDUAL_MEMBER,1882,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 15, ""Reference"": ""SP Bill 15"", ""ShortName"": ""Leasehold Casualties (Scotland) Bill"", ""FullName"": ""Leasehold Casualties (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 1882, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
16,SP Bill 16,Regulation of Investigatory Powers (Scotland) Bill,Regulation of Investigatory Powers (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 16, ""Reference"": ""SP Bill 16"", ""ShortName"": ""Regulation of Investigatory Powers (Scotland) Bill"", ""FullName"": ""Regulation of Investigatory Powers (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
17,SP Bill 17,"Bail, Judicial Appointments etc. (Scotland) Bill","Bail, Judicial Appointments etc. (Scotland) Bill",,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 17, ""Reference"": ""SP Bill 17"", ""ShortName"": ""Bail, Judicial Appointments etc. (Scotland) Bill"", ""FullName"": ""Bail, Judicial Appointments etc. (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
18,SP Bill 18,Transport (Scotland) Bill,Transport (Scotland) Bill,,EXECUTIVE,1866,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 18, ""Reference"": ""SP Bill 18"", ""ShortName"": ""Transport (Scotland) Bill"", ""FullName"": ""Transport (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1866, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
19,SP Bill 19,Mortgage Rights (Scotland) Bill,Mortgage Rights (Scotland) Bill,,INDIVIDUAL_MEMBER,1751,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 19, ""Reference"": ""SP Bill 19"", ""ShortName"": ""Mortgage Rights (Scotland) Bill"", ""FullName"": ""Mortgage Rights (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 1751, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
20,SP Bill 20,Salmon Conservation (Scotland) Bill,Salmon Conservation (Scotland) Bill,,EXECUTIVE,2202,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 20, ""Reference"": ""SP Bill 20"", ""ShortName"": ""Salmon Conservation (Scotland) Bill"", ""FullName"": ""Salmon Conservation (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2202, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
21,SP Bill 21,Education (Graduate Endowment and Student Support),Education (Graduate Endowment and Student Support) (Scotland) Bill,,EXECUTIVE,2028,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 21, ""Reference"": ""SP Bill 21"", ""ShortName"": ""Education (Graduate Endowment and Student Support)"", ""FullName"": ""Education (Graduate Endowment and Student Support) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2028, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
22,SP Bill 22,Education (Graduate Endowment and Student Support),Education (Graduate Endowment and Student Support) (Scotland) (No.2) Bill,,EXECUTIVE,1877,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 22, ""Reference"": ""SP Bill 22"", ""ShortName"": ""Education (Graduate Endowment and Student Support)"", ""FullName"": ""Education (Graduate Endowment and Student Support) (Scotland) (No.2) Bill"", ""BillTypeID"": 1, ""PersonID"": 1877, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
23,SP Bill 23,Housing (Scotland) Bill,Housing (Scotland) Bill,,EXECUTIVE,1783,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 23, ""Reference"": ""SP Bill 23"", ""ShortName"": ""Housing (Scotland) Bill"", ""FullName"": ""Housing (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1783, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
24,SP Bill 24,Regulation of Care (Scotland) Bill,Regulation of Care (Scotland) Bill,,EXECUTIVE,1871,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 24, ""Reference"": ""SP Bill 24"", ""ShortName"": ""Regulation of Care (Scotland) Bill"", ""FullName"": ""Regulation of Care (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1871, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
25,SP Bill 25,Convention Rights (Compliance) (Scotland) Bill,Convention Rights (Compliance) (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 25, ""Reference"": ""SP Bill 25"", ""ShortName"": ""Convention Rights (Compliance) (Scotland) Bill"", ""FullName"": ""Convention Rights (Compliance) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
26,SP Bill 26,Budget (Scotland) (No. 2) Bill,Budget (Scotland) (No. 2) Bill,,COMMITTEE,1911,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 26, ""Reference"": ""SP Bill 26"", ""ShortName"": ""Budget (Scotland) (No. 2) Bill"", ""FullName"": ""Budget (Scotland) (No. 2) Bill"", ""BillTypeID"": 3, ""PersonID"": 1911, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
27,SP Bill 27,International Criminal Court (Scotland) Bill,International Criminal Court (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 27, ""Reference"": ""SP Bill 27"", ""ShortName"": ""International Criminal Court (Scotland) Bill"", ""FullName"": ""International Criminal Court (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
28,SP Bill 28,Scottish Local Authorities (Tendering) Bill,Scottish Local Authorities (Tendering) Bill,,EXECUTIVE,1911,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 28, ""Reference"": ""SP Bill 28"", ""ShortName"": ""Scottish Local Authorities (Tendering) Bill"", ""FullName"": ""Scottish Local Authorities (Tendering) Bill"", ""BillTypeID"": 1, ""PersonID"": 1911, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
29,SP Bill 29,Police and Fire Services (Finance) (Scotland) Bill,Police and Fire Services (Finance) (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 29, ""Reference"": ""SP Bill 29"", ""ShortName"": ""Police and Fire Services (Finance) (Scotland) Bill"", ""FullName"": ""Police and Fire Services (Finance) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
30,SP Bill 30,Protection from Abuse (Scotland) Bill,Protection from Abuse (Scotland) Bill,,PRIVATE_ORGANISATION,1888,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 30, ""Reference"": ""SP Bill 30"", ""ShortName"": ""Protection from Abuse (Scotland) Bill"", ""FullName"": ""Protection from Abuse (Scotland) Bill"", ""BillTypeID"": 4, ""PersonID"": 1888, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
31,SP Bill 31,Sexual Offences (Procedure and Evidence) (Scotland,Sexual Offences (Procedure and Evidence) (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 31, ""Reference"": ""SP Bill 31"", ""ShortName"": ""Sexual Offences (Procedure and Evidence) (Scotland"", ""FullName"": ""Sexual Offences (Procedure and Evidence) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
32,SP Bill 32,Public Appointments (Parliamentary Approval) (Scot,Public Appointments (Parliamentary Approval) (Scotland) Bill,,INDIVIDUAL_MEMBER,1894,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 32, ""Reference"": ""SP Bill 32"", ""ShortName"": ""Public Appointments (Parliamentary Approval) (Scot"", ""FullName"": ""Public Appointments (Parliamentary Approval) (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 1894, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
33,SP Bill 33,Erskine Bridge Tolls Bill,Erskine Bridge Tolls Bill,,EXECUTIVE,1866,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 33, ""Reference"": ""SP Bill 33"", ""ShortName"": ""Erskine Bridge Tolls Bill"", ""FullName"": ""Erskine Bridge Tolls Bill"", ""BillTypeID"": 1, ""PersonID"": 1866, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
34,SP Bill 34,Community Care and Health (Scotland) Bill,Community Care and Health (Scotland) Bill,,EXECUTIVE,1871,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 34, ""Reference"": ""SP Bill 34"", ""ShortName"": ""Community Care and Health (Scotland) Bill"", ""FullName"": ""Community Care and Health (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1871, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
